,Name,Description,date_guess,type_guess
1366,"Aug - Bozeman, MT","The Montana State Fiddle Contest                          No date set yet for 2023                                                   Bozeman, MT.                                                       Annual Montana State Fiddle Contest<br>Click on the link below for details<br> The Montana State Fiddle Contest is held annually. It is open to residents and non-residents of all ages. Divisions are Peewee, Junior-Junior, Junior, Adult, Senior, Champion, Twin Fiddle, Anything Goes (Entertainment), Dance Fiddle, and this year we will add a picking division.<br>https://montanastateoldtimefiddlers.org/contest<br>Updated JS 9/1/22",2023,annual event
1367,"*Aug - Truro, NS, Canada","Canadian Grand Masters Fiddling Competition<br>Aug 26, 2023<br><br>at the Cobequid Educational. Centre<br>34 Lorne St, Truro<br><br>https://www.facebook.com/CanadianGrandMasters/<br><br>CR 11/11/22","Aug 26, 2023",annual event
1368,"Aug* - Lawrence, KS",".Kansas State Fiddling & Picking Championships<br>Every 4th weekend in August, <br>Aug 26-27, 2023                                                           Lawrence, KS.<br>CONTACT<br>West South Park Street, 66044<br>785-766-5135<br>http://www.fidpick.com<br>PRICING<br>Festival is free, contestants are charged entry fee. See website for details.<br>ACTIVITIES<br>Concerts, Competitions, Pre-event concerts and workshops held over the weekend. See website for details.<br>SIZE<br>1000-2000<br>ACCOMODATIONS<br>Local Hotels. See website for details.<br>http://www.fidpick.com/index.html                          Updated by J S 9/1/22",Every 4th weekend,weekly gathering
1369,"August-Saint Paul, MN","- Minnesota State Fair Fiddle Contests                      No date set yet for 2023.                                 Saint Paul, MN.<br>--sponsored by the MSFA and the Minnesota State Fair at the State Fairgrounds in St. Paul, MN.<br>Click here for rules and forms:<br>https://fiddlemn.com/state-fair-contest<br><br>Updated JS 9/1/22",2023,annual event
1370,Aug - Plymouth MA,"Traditional Music and Dance Camp<br>No date set yet for 2023.<br>Plymouth, MA.<br>Workshops, dances, concerts, one-shots, camper concerts, parties, jamming, singing, boating, swimming in two lovely ponds, relaxing, learning, and generally having fun. <br><br>http://www.tradmadcamp.org/<br><br>Updated JS 9/7/22",2023,annual event
1372,"Sept - Dobson, NC",Surry Old Time Fiddler's Convention                          2022. POSTPONED. Hopefully this coming fall.  <br>annual event celebrating Surry County’s rich heritage of old time music<br><br><br>http://surryoldtime.com                                              Updated by J.S. 3/9/22,Surry Old Time Fiddler's Convention                          2022,annual event
1373,"Sept - Blandford, MA",Old Time Fiddlers Contest<br>No date set yet for 2020<br>Blandford Fair<br>https://www.theblandfordfair.com/fiddlers-contest<br><br>CR 9/7/2019,2020,annual event
1374,"Sept*. Berkeley, CA","Spring Situation                                                            No date set yet for March of 2023 yet. <br>The BOTMC will be LIVE this year, in Berkeley, Sept. 21-25, 2022.  To be added. Visit www.BerkeleyOldTimeMusic.org and sign up for our email list, to get all the updates and breaking news.<br>https://www.berkeleyoldtimemusic.org/<br><br>JS 3/9/22",Spring,annual event
1375,"*Sept-Sheffield, VT","Sheffield Field Day Fiddler's Contest                      September 5th 2023.                                                    The Annual Pat O’Hagan Memorial Fiddle Contest held each Labor Day at the Miller’s Run School on Rt 122 in Sheffield, VT.                             Details here:                      here: https://www.facebook.com/pg/SheffieldVermontPastAndPresent/photos/?tab=album&album_id=757106451060336             JS 9/7/22",September 5th 2023,annual event
1376,"Sept- Buena Vista, VA","Rockbridge Mountain Music and Dance Festival    No date set yet for 2023.                                   Glen Maury Park in Buena Vista VA<br>                                    Details: http://www.rockbridgefestival.org/             CONTACT<br>Maury River Road, 24416<br>540-570-9111<br>http://www.rockbridgefestival.org<br>PRICING<br>Reasonable. We are a non profit, so admission and camping are only to keep the festival going.<br>ACTIVITIES<br>Workshops, Jams, Concerts, Dances<br>SIZE<br>500-1000<br>ACCOMODATIONS<br>Tent camping, RVs, Camper vans<br>AMENITIES<br>Showers, Food vendors                                              Visit our Facebook page: Rockbridge Mountain Music & Dance Festival                                              Updated by JS 9/14/22",2023,annual event
1377,"*Sept -  Columbia, CA","36TH ANNUAL FIDDLE & BANGO* CONTEST        Sept 1-2, 2023<br>Cost: Entry fee of $15 for contestants, FREE to watch<br><br>Location: Columbia Town Gazebo<br><br>Event Description: The Fiddle & Bango Contest (yes, “bango”) is held at the gazebo in Columbia State Historic Park. More than 40 musicians compete for prizes in the following categories: fiddle, banjo, vocal, guitar, mandolin, miscellaneous, and original song. The grand prize is a gold nugget, and there are cash prizes in each category. The entry fee per category is $15 and contestants sign up from 9-10:30am. The Fiddle & Bango Contest is free to the viewing public. Bring your lawn chairs, hats and sunscreen. T-shirts will be available for sale ($20). All ages and music genres are represented in this contest. Competition begins promptly at 10:30am, and continues all day, except for a lunch break.<br><br>For More Information: This event is coordinated by the Columbia Chamber of Commerce. Contact them at 209-536-1672 or www.visitcolumbiacalifornia.com<br><br>https://www.parks.ca.gov/?page_id=27701<br><br><br>Updated CR 7/7/2022    ",all day,annual event
1378,"Sept-Indiana, PA",Northern Appalachian Folk Festival                        No date set yet for 2023.                                           Details here: https://www.naffinc.org/                  Updated JS 9/14/22                                           ,2023,annual event
1379,"*Sept - Nashville, TN","The 51st Annual Grand Master Fiddler Championship will be held on Saturday September 2-3rd (Labor Day Weekend), 2023 in Nashville, Tennessee, at the Country Music Hall of Fame and Museum in the Ford Theater. Contestants from all over the world will compete for the Champion titles in Youth, Traditional, and Open categories.<br><br>https://www.grandmasterfiddler.com/<br><br>JS 9/7/22",Saturday September 2-3rd,annual event
1380,"*Sept-Cirencester, UK","Didmarton Bluegrass Festival                                  September 2nd-4th 2023                                Bands, dancing, jamming and bonfires.                   At Kemble Airfield.                                                      For one of the UK’s premier Bluegrass, Americana and Old-Time music festivals<br>                                                     More info at: http://didmarton-bluegrass.co.uk/  <br>Updated JS 9/7/22",September,annual event
1381,"*Sept -  Mt. Hood, Oregon","Zigzag Mountain Old Time Music Campout.          Labor Day Weekend<br>August 31 – September 5, 2023<br>Fiddles! Banjos! Guitars! Mandolins! Basses! Voices! Fun! Food! Campfires! Mountains! Community! Join us for this 3-day weekend of an exciting annual old time music camp in Oregon!<br><br>Come one, come all, musicians, singers, music lovers. Bring your instruments and your tent, van/small RV (or reserve a yurt) and take an easy hour drive from Portland to the beautiful Zigzag Mountain Farm on Mount Hood. Camping is in your choice of wooded sites or open meadows.<br><br>We bring visiting featured artists, sponsored by Bubbaville, that are nationally recognized, as well as a number of local instructors. Workshops include kid and family friendly activities, a kids fiddle workshop and jam. These fabulously talented folks will offer several workshops over the weekend, and they’ll be around to jam and to play in the Sunday evening concert.                                CONTACT<br>70803 East Mountain Drive, 97049<br>503-922-3162<br>PRICING<br>$99 - $129<br>ACTIVITIES<br>Workshops, Jams, Concerts<br>SIZE<br>100-500<br>ACCOMODATIONS<br>Tent camping, RVs, Camper vans, Cabins<br>AMENITIES<br>Showers, Food vendors                                    Details:        https://www.zigzagmountainfarm.com/            Updated JS 9/7/22","August 31 – September 5, 2023",annual event
1382,"*Sept - Lenoir, NC","Happy Valley Fiddler's Convention                          September 2-5,  2023.<br><br>Happy Valley Fiddlers Convention.   <br>Labor Day Weekend<br><br>This year will feature a truly terrific lineup of Sunday performers! Returning are several favorites of years past, and some great new (to us) musicians! Stay tuned for our lineup announcements coming soon (*note* the website currently lists our 2019 musicians...we're working on it!)                              CONTACT<br>828-754-2486<br>http://www.happyvalleyfiddlers.org/<br>PRICING<br>Varies<br>ACTIVITIES<br>Jams, Concerts, Dances, Competitions<br>SIZE<br>2000+<br>ACCOMODATIONS<br>Tent camping, RVs, Camper vans                                                         Info at: https://happyvalleyfiddlers.org/index.html        Updated by JS 9/7/22",Labor Day Weekend,annual event
1383,"Sept - Roskilde, Denmark","Kattinge Old Time Festival                                        No date set yet for 2023.                                                           <br>It is a weekend where we cultivate our love for music and are inspired and learn from each other.<br><br>https://www.facebook.com/events/683751956302819/?<br><br><br>Workshops, Jams, Concerts, Dances, It is mainly a jam and a get together with different activities from year to year.<br><br>The public transport to Kattinge are quite good. If you arrive in Kastrup airport you can rely on public transportation all the way to the door.        Updated JS 9/14/22                    ",weekend,annual event
1384,"*Sept - Charlestown, RI","Rhythm and Roots Festival<br>9/1-4/2023 <br>The artist lineup is always HOT, HOT, HOT, and so is the dancing, food and fun. Join us Labor Day Weekend at Ninigret Park in Charlestown, Rhode Island for Camping, Music and Dancing across multiple stages. This is an all ages, family event beloved in New England as a highlight of the summer.<br><br>https://www.facebook.com/events/699133284246329?<br><br>JS 9/7/22",Weekend,annual event
1385,"*Sept-Lake Ariel, PA","Fiddling Bear/Lake Genero Musicians Gathering  September 2 - September 5, 2023                                        Labor Day Weekend - in North East Pennsylvania <br>GPS this: 1284 Hamlin Hwy, Lake Ariel, PA 18436<br>Info: http://www.sacrasoft.com/Genero/                  Some more info: https://www.facebook.com/groups/49918039318/about/                                                               Contact info: http://www.lakegenero.com/index.html        Updated JS 9/7/22",Weekend,weekly gathering
1386,"*Sept - Pembroke, Ontario","Pembroke Fiddle & Step Dancing Contest              Sept 1-2, 2023<br>https://www.facebook.com/pembrokefiddle/<br><br>Updated JS 9/21/22","1-2, 2023",annual event
1387,"*Sept - Bremerton, WA","WOTFA District 5 Campout<br>September 1-4, 2023.<br>https://wotfa.org/event/district-5-campout/2019-08-30/<br><br>JS 9/7/22","September 1-4, 2023",weekly gathering
1388,"Sept-Olive Hill, KY","Fraley Festival of Traditional Music<br>No date set yet for 2023.<br>The Fraley Festival of Traditional Music is held every year at Carter Caves State Resort Park in eastern Kentucky.<br><br>The festival began as a Fraley family reunion in the early 1970s but soon grew to encompass an extensive extended musical family. The festival attracts performers and music fans from across the United States to share music and swap stories. The annual event attracts champion fiddlers and top players, who share billing with those just learning. And some of the most important music making takes place away from the stage—at parking lot and campground jam sessions that go on day and night.<br>CONTACT<br>344 Caveland Drive, 41164<br>606-286-4411<br>http://fraleyfestival.com/<br><br>Updated JS 9/14/22",day and night,annual event
1390,"*Sept-Tahlequah, OK","Cherokee National Holiday Fiddle Contest.             September 3, 2023. The contest typically is from 12pm to 5pm.                                                    https://thecherokeeholiday.com/                          JS 9/7/22",12pm to 5pm,annual event
1391,"*Sept-Port Orchard, WA","American Banjo Camp                                                September 7 - 10, 2023                                                        ABC features four levels of instruction in bluegrass banjo and four levels of instruction in old-time banjo, as well as a full-time guitar track, a full-time fiddle track, and new this year, a full-time mandolin track!                                                   CONTACT<br>3318 Southwest Lake Flora Road, 98367<br>http://americanbanjocamp.com<br><br>Updated CR 2/28/2023",September,annual event
1392,"Sept - Fennville, MI","Annual Gilman Old Time Music Weekend.              has been cancelled for 2022. Hope to see you all in 2023<br><br>Put up a tent, hang out, play music.<br><br>If you play Old Time music (as in fiddle, banjo, guitar, etc.), you are invited. Its a private party for players, and those friends and family members that are lucky enough to be brought along.<br><br>https://gilmanotmusicweekend.wordpress.com/<br><br>https://www.facebook.com/Gilman-Oldtime-Music-Weekend-334808723209297/<br><br>JS 9/1/22",Annual Gilman Old Time Music Weekend,weekly gathering
1393,"*Sept- Contoocook, NH","Fiddleheads Acoustic JamCamp<br>September 8-10, 2023<br><br>The focus of the Fiddleheads Acoustic JamCamp weekend is to teach and inspire musicians to play with each other in various styles--both singing and instrumental--and to experience playing in a band setting. Held in early September each year, camp features hours of jams, workshops and concerts throughout the day. We form bands of various styles, practice playing with others and perform in an energy-filled Saturday evening concert. Jamming of various styles happens Friday and Saturday evenings. From blues to bluegrass, jigs to jazz, cajun to country and more! We hire coaches who are not only good musicians but who are also good teachers and have played in numerous bands of various styles. <br><br>https://www.fiddleheadscamp.com/                      Updated CR 2/28/2023",Friday and Saturday,annual event
1394,"Sept - Goldendale, WA","Simcoe Mountain Music & Dance Weekend<br>is cancelled for 2021.                                                  Hope to see you all in 2023!<br>Brooks Memorial State Park<br><br>Located on Hwy 97, just north of Goldendale WA at Satus Pass<br><br>Informal jamming and participant-organized workshops:<br>Dancing, Song writing, Banjo, Calling, Storytelling, Guitar, Singing, Fiddle<br><br>http://community.gorge.net/mcfs/simcoe.htm     JS 9/7/22",Simcoe Mountain Music & Dance Weekend,weekly gathering
1395,"Sept-Pepin, WI","Wilder Days Fiddle Contest                                          No date set yet for 2023. <br>Pepin, Wisconsin<br><br>Click https://www.lauradays.org/fiddle-contest-entry-form-rules--guidelines.html for website and online registration form<br>Click marypat@roadfarming.com for e-mail.<br>https://www.lauradays.org/<br><br>Updated JS 9/14/22",Wilder Days,annual event
1397,"*Sept- West Sussex, UK","Sweet Sunny South<br>8 - 10 September 2023       <br> <br>Small friendly festival in a picturesque rural setting, featuring concerts and workshops from the best of UK Old Time performers as well as Transatlantic Guest Artists. Intimate Barn performance venue (seats 80) – plenty of covered space for sessions – open fire for the chilly evenings – great food available on site – bar with local ales.                                                       CONTACT<br>Park Lane, RH20 3AW<br>+44 190 389 28 91<br>http://www.sweetsunnysouth.org/<br>PRICING<br><br>ACTIVITIES<br>Workshops, Jams, Concerts, Dances, 'open mic' showcase - sessions round an open fire - children's activities<br>SIZE<br><100<br>ACCOMODATIONS<br>Tent camping, Camper vans<br>AMENITIES<br>Food vendors, Other vendors                                     Updated CR 2/28/2023",8 - 10 September,weekly gathering
1398,"*Sept - Remus, MI","The Wheatland Music Festival                              September 8-10, 2023                                                       is an annual celebration of music and the arts, dating back to 1974. Each year, both local and world renowned musicians gather together in early September for three days of singing, dancing and friendship.<br> <br>Each year, thousands of children and adults converge on the 160-acre festival site to enjoy a wide variety of traditional arts. Festival goers take part in workshops, demonstrations, dances, and impromptu jam sessions throughout the site as well as the stage performances, juried arts and crafts and a wide variety of food.<br><br>https://www.wheatlandmusic.org/                          Updated CR 2/28/2023","September 8-10, 2023",annual event
1399,"Sept- Pittsboro, NC","Hoppin John Old Time and Bluegrass Fiddler's Convention<br>No date set yet for 2023.                                            CONTACT<br>1439 Henderson Tanyard Road, 27312<br>919-542-1746<br><br>http://www.hoppinjohn.org<br><br> Updated JS 9/21/22",2023,annual event
1400,"*Sept - Prineville, OR","Oregon Oldtime Fiddlers’ Association Central Oregon Country Music Gathering<br>Plans are underway for the 2022 Gathering<br>Sep 16-17, 2022<br>Further information will be posted as soon as available<br>Crook County Fairgrounds<br>1280 Main St, Prineville, OR 97754<br><br>Description:<br>Oregon Oldtime Fidddlers’ Association presents Central Oregon Country Music Gathering at the Crook Co. Fairgrounds in Prineville, OR. An old time fiddle and country music event of acoustic instruments showcasing local talent, workshops, Old Time Fiddle Circle Jams, open jamming throughout the campground.<br><br>Campsites available at $50/weekend<br><br>Food vendor on site<br><br> http://centraloregonfiddlers.com/<br><br>Jamming starts when the hall opens.<br><br>Updated CR 6/23/2022",weekend,weekly gathering
1401,"April/September - Charlton, MA","Mandolin Camp North                                                No dates set yet for 2023.                                               <br>Not just for mandolin players-plenty of classes for fiddle and guitar<br><br>Banjo Camp North,<br><br>Jam Camp North, <br><br> <br>https://musiccampsnorth.com/<br>Updated JS 9/21/22",2023,annual event
1402,"September- Indianapolis, IN","The 47th Annual Eagle Creek Folk Festival            No date set yet for 2023.                                                       Held at the Eagle Creek Park Marina,   <br>  For the 46th time Indianapolis will enjoy a weekend of free folk music and activities organized by the Central Indiana Folk Music & Mountain Dulcimer Society. Both days will be filled with stage performances, singer-songwriter contest, open mic opportunities, jam sessions, arts/crafts vendors, a variety of workshops, and an instrument petting zoo. Food and beverages will be available through the Morgan County Sertoma Club. This festival is open to the public, free of charge, and is family-friendly. All are encouraged to bring instruments and join in the music-making!<br>https://indianafolkmusic.org/folkFestival.html      JS 9/21/22",47th Annual Eagle Creek Folk Festival            No date set yet for 2023,annual event
1403,"Sept - Zürich, Switzerland","Old-Time in the Alps<br>Join us for the third annual Old-Time Weekend in the Alps, near Elm! .<br>No date set yet for 2023 <br>Cost: CHF 180 for Friday to Sunday (Saturday and Sunday only, CHF 100). Price includes full room and board, excluding your drink consumption.<br><br>Accommodation: Skihaus Schabell (Dormitory-style, with bunk rooms for men and women. Bring your own sleeping bag. Men’s and women’s bathrooms, with shower, on each floor).<br><br>Arrival: on your own, at Valley station “Elm, Sportbahnen”. The bus stop “Elm, Sportbahnen” can be reached from Zurich Airport and Zurich main train station in less than 2.5 hours (by train and bus) <br><br>Special guest musicians: We hope to find enough sponsors to bring a professional old-time music tutor to Elm again this year. Your individual contributions are welcome towards this effort.<br><br>For more information, contact Caspar Noetzli<br>E-mail: caspar@noetz.li<br>https://www.facebook.com/oldtimemusicswitzerland                                                                        Updated by J.S. 9/1/22",Saturday and Sunday,annual event
1404,"*Sept-Winfield, KS","51st  Annual Walnut  Valley Festival and National Flat Picking Championships <br>Sept 13-17, 2023<br><br> Open jamming in many styles including Old Time. Over 30 entertainers and contests.           CONTACT<br>218 East 10th Avenue, 67156<br>620-221-3250<br>https://www.wvfest.com/<br><br>ACTIVITIES<br>Workshops, Jams, Concerts, Dances, Competitions, Arts & Crafts Show<br>SIZE<br>2000+<br>ACCOMODATIONS<br>Tent camping, RVs<br>AMENITIES<br>Showers, Food vendors, Other vendors      Details:    https://www.wvfest.com<br>  Updated by CR 1/10/2023","Sept 13-17, 2023",annual event
1405,"Sept-Bloomfield, IA","50th Annual Bloomfield, Davis County Country and Old Time Music Festival                                      No date set yet for 2023.                                           All details are here:         https://www.facebook.com/DCCOTMF/                And here:        https://festivalnet.com/17741/Bloomfield-Iowa/Bluegrass-Festivals/Davis-County-Bluegrass-Old-Time-Country-Festival                      Added by J.S  9/21/22                     ",2023,annual event
1409,"Sept- Lowell, MA","41st annual Banjo and Fiddle Contest<br>No date set yet for 2023.<br> Boarding House Park<br>40 French Street<br>Lowell, MA 01852                                                          Covid regulations and details here:     https://www.facebook.com/groups/245405439179766/     <br><br> Updated JS 9/14/22",2023,annual event
1411,"Sept - Tehachapi, CA","45th Annual Tehachapi Old Time Fiddle Contest. No date set yet for 2023.                                  Tehachapi, CA.                                           Tehachapi will ring with the sound of fiddles, guitars, banjos, mandolins and other instruments S, as District 3 of the California State Old Time Fiddlers Association holds its 40-second annual Fiddlin’ Down the Tracks Old Time Fiddle Contest at Country Oaks Baptist Church, 20915 Schout Road in Tehachapi.<br>         https://csotfad1.weebly.com/uploads/1/3/6/7/13677015/2022_fiddlin_down_the_tracks_flyer_rev_1.pdf                                                                     JS 9/21/22",2023,annual event
1412,"Sept-Macungie, PA",Berk's Fiddle Fest                                                        No date set yet for 2023. <br> 9am - 5:30pm  <br> Bear Creek Mt Resort <br>      Contact: Larry 484-818-1165                                     484-507-2186                                                            https://www.bcmountainresort.com/play/events/berks-fiddle-fest/ <br><br>Updated JS 9/21/22,9am - 5:30pm,weekly gathering
1414,"Sept - Iowa City, IA",51st Annual Fiddler’s Picnic                                      Cancelled for 2022 Hope to see you in 2023!<br>from 12:00-6:00<br>at the Iowa City 4H Fairgrounds                   Contact: 319-337-4952<br>https://www.facebook.com/Iowa-Friends-of-Old-Time-Music-178810745492812/                          Updated by J.S. 9/7/22,12:00-6:00,annual event
1415,"Sept- Santa Rosa, CA",Sonoma County Event Center at the Fairgrounds                                                                   No date set yet for 2023 . <br>Heirloom Expo “Fiddle-Off” Contest                          Details: http://www.csotfa10.org/heirloom.html   JS 9/1/22,2023,annual event
1416,"Sept - Pickens, SC","25th Annual SC State Fiddling Championship and Fiddler’s Convention. at Hagood Mill<br>3rd Saturday in September                              No date set yet for 2023.<br>138 Hagood Mill Rd<br>Pickens, SC 29671<br>                CONTACT<br>138 Hagood Mill Road, 29671<br>864-898-2936                                                               864-360-9330<br>https://www.hagoodmillfoundation.org/<br>PRICING<br>•	All parking is free. •	Children 10 and under are free. •	General admission (GA) ticket--$5/day; $10 per week-end (Fri-Sun) per person •	Tent/car camping--$10 per person for one night or week-end •	RVs/campers--$10 per person for one night or week-end<br>ACTIVITIES<br>Workshops, Jams, Concerts, Dances, Competitions, Hiking, Water Activities, Native American Petroglyph Site, Disc Golf, Living History Demonstrations<br>SIZE<br>2000+<br>ACCOMODATIONS<br>Tent camping, RVs, Camper vans<br>AMENITIES<br>Food vendors, Store, Other vendors                         Updated by J.S. 9/21/22",Saturday,annual event
1418,"Sept - Dyserth, North Wales",The Just Pickin Wales weekend will be held at the fundraising campsite.                                        No date set yet for 2023.                                    with the premise of like minded folk enjoying a gathering to play Bluegrass and Old time music.<br><br><br>https://www.justpickin.com/Just_Pickin_Wales.html<br><br>JS 9/21/22,2023,annual event
1419,"Sept - Hay on Wye, Hereford UK",Old-Time Picking Weekend at Baskerville Hall <br>No date set yet for 2023.<br><br>https://foaotmad.weebly.com/news<br><br>JS 9/21/22,Old-Time Picking Weekend,weekly gathering
1420,"Sept - Searsport, ME","Old Time Music Campout<br>No date set yet for 2023. <br>Welcome all players and listeners that appreciate old time music to a weekend of playing, learning, sharing and listening with some of the best old time players in New England.<br><br>Events include many interesting workshops, night/afternoon performances & coffee house, community pizza oven, community song share, and lots of old time jamming (beginner-advanced), singing & dancing all happening on the shores of Penobscot Bay. Vendors and campground cooks always welcome.<br>                                                                          <br>https://oldtimemusicmaine.com/<br><br>Updated by: JS 9/21/22",night/afternoon,annual event
1421,"Sept - Fiddletown, CA","Fiddler's Jam & Street Fair<br>No date set yet for 2023.<br>11am to 4pm          Location(s): <br>Fiddletown Community Center - (209) 245-6042<br><br>All day long hear fiddler's of all ages and from near and far play fiddle-fabulous tunes! Fiddlers' contest, toe-tapping, foot stomping, and some ""mean"" fiddle playing!<br><br>Historic Gold Rush Town Street Fair <br><br>http://fiddletowncc.org/events/<br><br>Updated JS 9/21/22",11am to 4pm,weekly gathering
1423,"Sept - Tygh Valley, OR",Always the last full weekend in September. <br>Tygh Valley Bluegrass Jamboree<br>No date set yet for 2023.  <br>Billed as a Bluegrass Jamboree but I have it on good authority that a small but growing Old-Time contingent shows up to jam.<br>Info: https://www.tyghvalleybluegrass.com/?fbclid=IwAR0v0PWCfpi4HI_iv7Z6BN0qKEymM8smvgyjX8vNZHKTZG2SAI5322RKR5w <br>https://www.facebook.com/TyghValleyBluegrassJamboree/                                                                    JS 9/28/22,September,annual event
1424,"Sept - Moniaive, Scotland","Moniaive Bluegrass Festival.<br>No date set yet for 2023. <br>There will be old time jams on the camping field, in the beer gardens and in The George Hotel. (The bluegrass jams are in The Craigdarroch Hotel)<br>More Info: https://www.moniaivebluegrass.co.uk/          Updated JS 10/5/22",2023,annual event
1425,"Sept - Kamloops, BC, Canada","OLD TIME FIDDLE CONTEST <br>No date set yet for 2023.<br><br>MUSICIANS’ JAM – FRIDAY SEPT 23th 7:00-9:00 PM<br><br>CONTEST SATURDAY SEPT 24th 9:00 AM-6:00 PM DINNER AND DANCE TO FOLLOW<br><br>BREAKFAST, AGM, MUSICIANS’ JAM – SUNDAY SEPT 25th 8:00-12:00 PM<br><br>AT 100 LORNE STREET, KAMLOOPS, B.C.<br><br>http://bcfiddlers.com/branches/kamloops/3572-2/<br><br>JS 10/5/22",7:00-9:00 PM,weekly gathering
1426,"Sept-Sinton, TX",Sinton Fiddlers Festival <br>No date set yet for 2023.<br> 11am- 5pm<br>San Patricio County Fairgrounds<br><br>http://www.sintonchamber.org/events_calendar.htm<br><br>JS 9/28/22,11am- 5pm,weekly gathering
1427,"September - Crockett, TX",World Championship Fiddlers Festival of Crockett Texas<br>No date set yet for 2023.  <br>Davy Crockett Memorial Park<br><br>https://www.facebook.com/FiddlersFestivalCrockett/<br>Updated JS 9/29/22,2023,annual event
1428,"Sept - Payson, AZ",Fiddle Contest<br>No date set yet for 2023.<br>Green Valley Park<br>https://paysonrimcountry.com/fiddle/<br><br>Updated JS 9/28/22,2023,annual event
1429,"Sept - Mansfield, MO",Laura Ingalls Wilder Fiddle Off <br>No date set yet for 2023.                                <br>Historic home of Laura Ingalls Wilder will host the annual Laura Ingalls Wilder Fiddle Off<br><br>https://www.facebook.com/lauraingallswilderfiddlecontest/<br>Updated JS 9/28/22,2023,annual event
1430,"*Sept-Winona, MN","Boats and Bluegrass                                                   September 21-24, 2023                                             Winona, MN                                                                 Prairie Island Campground                                       A family friendly music and camping festival on the shores of the Mississippi River in beautiful Winona Minnesota.                                                      In the heart of the driftless, Boats and Bluegrass is nestled in the bluffs on the shores of the mighty Mississippi River. For thousands of years the area around Prairie Island has been a gathering place for all types of creatures. Continue this tradition and enjoy a weekend of reconnecting, relaxing and a little recreation. <br><br>Prairie Island Campground is located at 1120 Prairie Island Rd N, Winona Minnesota.                 Info: https://www.boatsandbluegrass.com/           JS 12/21/22",weekend,weekly gathering
1431,"Sept - Oxford, PA","Janie’s Jumpstart Oxford, PA <br>No date set yet for 2023.<br>at the home of Pete Peterson and Kellie Allen<br><br>Full Weekend Camp for Old Time Music-Fiddle (Janie Rothfield & Beverly Smith), Clawhammer Banjo (Rachel Eddy & Hilarie Burhans) and Back Up Guitar (Kellie Allen)!<br><br>https://janierothfield.com/oxford-pa-9/2325-2022-1<br><br>JS 9/28/22",2023,weekly gathering
1433,"Sept - Dummerston, VT","https://www.gofundme.com/f/southern-vermont-music-and-dance-camp<br>Go Fund Me for<br><br>RIVERJAM ROMP<br>No date set yet for 2023. <br><br>A NEW MUSIC & DANCE CAMP in Southern Vermont, celebrating our locally grown musical community and its cherished traditions.<br>Beginning this fall with an inaugural weekend at the Green Mountain Camp in Dummerston.<br><br>We have been so deeply inspired by the locally rooted camps we've traveled to in the past (as well as camps that were once held locally but are no longer) that we feel called to make this happen right here in our own backyard.<br>It's our turn now to showcase and support our local musicians and callers, and to uplift the incredible musical treasures we have here in Southern Vermont, the Pioneer Valley, and the Monadnock Region.<br><br>We need your financial support to make it happen. We can’t wait to make this real! We have already secured a weekend at Green Mountain Camp in Dummerston, VT and are in the process of scoping out staff for our first year. <br><br>Money raised will get us started on camp rental, insurance, food purchases, and programming. Fees from the first year will sustain us for the following year. Registration information will be available soon, but we need your help now.<br><br>JS 10/5/22",weekend,annual event
1434,"Sept-Suches, GA","<img src=""https://doc-0s-a0-mymaps.googleusercontent.com/untrusted/hostedimage/mssabsa7slgdk9jv14qogv6rfg/hoad4tv3gi4okh7k3q9nntgmfo/1679292013750/Rwzruwph7FP6RHOal8qpCwcnwKUrNFzH/06273081418702902963/5AI-xGzzTpdkFnx0E9eSh271AZY5cI26B9fSRrIB4Y2HwuU8Kmnw3sxWD6H3psxaBVjnKDl8tCN-OvcLtqkaruVqjQyT1X_PMC-_GpamvkGWkOXJslEvAkL6EC8hF_EAmCkI0Sh2AoPb0nbiWhkZyIpCAaFe6TyoV5tC0EbiDpx-mphbo7rq0lPubXfwVTHMv_y4mHQ4?session=0&fife"" height=""200"" width=""auto"" /><br><br>Kennedy Creek Old Time Music Festival<br>No date set yet for 2023. .<br> 3PM start time.                                                                    Annual Kennedy Creek Old Time Music Festival located at Kennedy Creek Resort in Suches Ga., in the Blue Ridge mountains, just minutes from downtown Dahlonega. We'll have 3 Days of jamming, camping, fiddle , guitar, and banjo workshops with Emily Schaad, Frank and Allie Lee and square dancing with pro caller Doug Singleton (music provided by Frank, Allie, and Emily) and good eats provided by Chef James Barwick all in the beautiful setting of the North Georgia Mountains.                                          Details and Contact info:     <br><br>Updated JS 10/5/22",3,annual event
1435,"Oct - Santa Barbara, CA","Santa Barbara 50th Old-Time Fiddlers' Festival <br>No date set yet for 2023<br>304 N Los Carneros Rd, Goleta, CA<br><br>The music festival features all day entertainment, one of the premier Old-Time Music contests on the West Coast, free workshops taught by some of the best teachers in the industry, opportunities to “jam” with other musicians, family friendly fun and much more.<br><br>The goal of the festival is to share and preserve Old-Time Music, an important part of our country’s rich heritage and encourage a new generation to embrace music. Music education opportunities such as free instrument workshops and led jam sessions will be hosted throughout the day. Children can even visit an Instrument Petting Zoo!<br><br>At the heart of any great old-time festival is the jamming! Fiddles, banjos, guitars, mandolins, washtub basses, and other stringed instruments are picked, plucked, strummed and banged on in jams that vary in size, from 2 to 25 people!<br><br><br>http://fiddlersfestival.org/   <br><br>  Updated JS 10/20/2022",2023,annual event
